tconst	averageRating	numVotes
tt0001135	4.8	60
tt0001139	5.4	43
tt0001143	5.1	56
tt0001144	5.3	53
tt0001145	5.8	11
tt0001150	5.2	134
tt0001151	4.3	60
tt0001152	5.6	85
tt0001153	4.6	57
tt0001156	5	56
tt0001159	5.2	31
tt0001161	5.1	58
tt0001165	5	40
tt0001175	5.3	44
tt0001176	5.2	40
tt0001177	6.2	22
tt0001184	3.4	21
tt0001185	7.1	21
tt0001186	5.2	72
tt0001187	5.4	41
tt0001190	6.6	14
tt0001195	4.9	20
tt0001196	4.1	12
tt0001200	5.2	47
tt0001202	5.7	40
tt0001206	6.8	45
tt0001207	5.4	152
tt0001211	5.5	50
tt0001214	6.6	9
tt0001216	5.6	40
tt0001217	5.6	120
tt0001218	5.2	142
tt0001223	6.4	4940
tt0001227	5.8	288
tt0001230	5.1	32
tt0001233	7.6	22
tt0001234	6.1	44
tt0001235	5.2	67
tt0001236	5.8	43
tt0001237	4.8	82
tt0001240	3.8	23
tt0001241	4.2	19
tt0001242	5.1	19
tt0001245	5.6	84
tt0001254	6	24
tt0001256	5.8	614
tt0001258	5.7	177
tt0001262	5.4	33
tt0001264	7.1	83
tt0001265	6.3	586
tt0001277	4.3	26
tt0001280	5.2	39
tt0001282	6.6	37
tt0001283	6.4	27
tt0001284	4.9	54
tt0001285	5.5	64
tt0001292	5.3	71
tt0001294	7.2	16
tt0001299	3.8	16
tt0001303	6.8	17
tt0001306	4.8	12
tt0001307	6.4	16
tt0001310	5.6	34
tt0001313	5.5	19
tt0001314	5.8	169
tt0001315	6.1	25
tt0001321	5.3	67
tt0001326	5.7	68
tt0001330	5.5	47
tt0001332	5.6	41
tt0001333	5.8	67
tt0001334	6.3	22
tt0001336	6.3	20
tt0001337	5.8	65
tt0001338	4.7	17
tt0001340	5.3	110
tt0001348	4	12
tt0001351	6.1	75
tt0001353	5	14
tt0001358	4	29
tt0001370	5	24
tt0001371	5.8	458
tt0001377	5	31
tt0001378	5.9	238
tt0001380	3.6	11
tt0001381	5.6	45
tt0001385	5.4	88
tt0001386	4.3	20
tt0001387	5.7	34
tt0001388	5.8	100
tt0001396	4	19
tt0001399	6	16
tt0001400	7.4	18
tt0001401	6.3	36
tt0001407	6.9	24
tt0001410	5.2	23
tt0001414	5.5	84
tt0001423	4.2	15
tt0001428	5.4	64
tt0001431	6.3	935
tt0001432	5.9	48
tt0001439	5.8	291
tt0001440	3.6	26
tt0001443	7.4	17
tt0001444	3.2	35
tt0001446	6.4	18
tt0001452	5.4	249
tt0001454	5.7	47
tt0001456	8.5	20
tt0001458	5.8	253
tt0001459	5.5	65
tt0001460	4	18
tt0001461	6	43
tt0001463	5.7	1727
tt0001469	5.9	164
tt0001471	3.4	10
tt0001475	7.4	23
tt0001481	5.6	49
tt0001482	5	75
tt0001487	6.1	9
tt0001488	6.3	593
tt0001490	5.1	28
tt0001496	4.2	74
tt0001497	7.7	12
tt0001498	8.1	17
tt0001499	5.6	390
tt0001500	5	8
tt0001508	5.2	50
tt0001510	5.6	71
tt0001517	5.9	43
tt0001518	5.7	28
tt0001519	5.1	43
tt0001521	5.2	12
tt0001527	7.7	3359
tt0001529	4.7	24
tt0001530	5.4	19
tt0001531	4.6	15
tt0001532	5.1	17
tt0001542	4.4	34
tt0001544	6	890
tt0001545	6.1	162
tt0001550	5.4	58
tt0001551	5.2	100
tt0001552	5.5	39
tt0001557	4.9	122
tt0001560	4.4	27
tt0001563	5.8	54
tt0001564	4.6	30
tt0001571	5	28
tt0001577	5.6	31
tt0001582	5.3	33
tt0001583	5.3	18
tt0001584	5	29
tt0001586	4.4	20
tt0001587	4	29
tt0001588	5.4	227
tt0001590	5.5	11
tt0001592	5.9	29
tt0001593	6.2	425
tt0001594	6.3	384
tt0001598	5.8	53
tt0001607	5.4	86
tt0001613	5.3	174
tt0001614	6.5	43
tt0001615	5.4	42
tt0001618	6	26
tt0001624	5	50
tt0001630	6.1	47
tt0001632	6.4	47
tt0001638	6.8	11
tt0001642	5	44
tt0001648	4.2	8
tt0001654	5.5	46
tt0001655	4.4	18
tt0001658	5.9	18
tt0001659	7.6	19
tt0001660	5.6	232
tt0001668	4.2	37
